Movie_ID,Person,Role
tt2488496,J.J. Abrams,director
tt2488496,Lawrence Kasdan,writer
tt2488496,J.J. Abrams,writer
tt2488496,Daisy Ridley,star
tt2488496,John Boyega,star
tt2488496,Oscar Isaac,star
tt0499549,James Cameron,director
tt0499549,James Cameron,writer
tt0499549,Sam Worthington,star
tt0499549,Zoe Saldana,star
tt0499549,Sigourney Weaver,star
tt1825683,Ryan Coogler,director
tt1825683,Ryan Coogler,writer
tt1825683,Joe Robert Cole,writer
tt1825683,Chadwick Boseman,star
tt1825683,Michael B. Jordan,star
tt1825683,Lupita Nyong'o,star
tt4154756,Anthony Russo,director
tt4154756,Joe Russo,director
tt4154756,Christopher Markus,writer
tt4154756,Stephen McFeely,writer
tt4154756,Robert Downey Jr.,star
tt4154756,Chris Hemsworth,star
tt4154756,Mark Ruffalo,star
tt0369610,Colin Trevorrow,director
tt0369610,Rick Jaffa,writer
tt0369610,Amanda Silver,writer
tt0369610,Chris Pratt,star
tt0369610,Bryce Dallas Howard,star
tt0369610,Ty Simpkins,star
tt0848228,Joss Whedon,director
tt0848228,Joss Whedon,writer
tt0848228,Zak Penn,writer
tt0848228,Robert Downey Jr.,star
tt0848228,Chris Evans,star
tt0848228,Scarlett Johansson,star
tt3606756,Brad Bird,director
tt3606756,Brad Bird,writer
tt3606756,Craig T. Nelson,star
tt3606756,Holly Hunter,star
tt3606756,Sarah Vowell,star
tt0468569,Christopher Nolan,director
tt0468569,Jonathan Nolan,writer
tt0468569,Christopher Nolan,writer
tt0468569,Christian Bale,star
tt0468569,Heath Ledger,star
tt0468569,Aaron Eckhart,star
tt3748528,Gareth Edwards,director
tt3748528,Chris Weitz,writer
tt3748528,Tony Gilroy,writer
tt3748528,Felicity Jones,star
tt3748528,Diego Luna,star
tt3748528,Alan Tudyk,star
tt2771200,Bill Condon,director
tt2771200,Stephen Chbosky,writer
tt2771200,Evan Spiliotopoulos,writer
tt2771200,Emma Watson,star
tt2771200,Dan Stevens,star
tt2771200,Luke Evans,star
tt2277860,Andrew Stanton,director
tt2277860,Angus MacLane,director
tt2277860,Andrew Stanton,writer
tt2277860,Andrew Stanton,writer
tt2277860,Ellen DeGeneres,star
tt2277860,Albert Brooks,star
tt2277860,Ed O'Neill,star
tt2395427,Joss Whedon,director
tt2395427,Joss Whedon,writer
tt2395427,Stan Lee,writer
tt2395427,Robert Downey Jr.,star
tt2395427,Chris Evans,star
tt2395427,Mark Ruffalo,star
tt1345836,Christopher Nolan,director
tt1345836,Jonathan Nolan,writer
tt1345836,Christopher Nolan,writer
tt1345836,Christian Bale,star
tt1345836,Tom Hardy,star
tt1345836,Anne Hathaway,star
tt0298148,Andrew Adamson,director
tt0298148,Kelly Asbury,director
tt0298148,William Steig,writer
tt0298148,Andrew Adamson,writer
tt0298148,Mike Myers,star
tt0298148,Eddie Murphy,star
tt0298148,Cameron Diaz,star
tt1951264,Francis Lawrence,director
tt1951264,Simon Beaufoy,writer
tt1951264,Michael Arndt,writer
tt1951264,Jennifer Lawrence,star
tt1951264,Josh Hutcherson,star
tt1951264,Liam Hemsworth,star
tt0383574,Gore Verbinski,director
tt0383574,Ted Elliott,writer
tt0383574,Terry Rossio,writer
tt0383574,Johnny Depp,star
tt0383574,Orlando Bloom,star
tt0383574,Keira Knightley,star
tt4881806,J.A. Bayona,director
tt4881806,Derek Connolly,writer
tt4881806,Colin Trevorrow,writer
tt4881806,Chris Pratt,star
tt4881806,Bryce Dallas Howard,star
tt4881806,Rafe Spall,star
tt0435761,Lee Unkrich,director
tt0435761,John Lasseter,writer
tt0435761,Andrew Stanton,writer
tt0435761,Tom Hanks,star
tt0435761,Tim Allen,star
tt0435761,Joan Cusack,star
tt0451279,Patty Jenkins,director
tt0451279,Allan Heinberg,writer
tt0451279,Zack Snyder,writer
tt0451279,Gal Gadot,star
tt0451279,Chris Pine,star
tt0451279,Robin Wright,star
tt1300854,Shane Black,director
tt1300854,Drew Pearce,writer
tt1300854,Shane Black,writer
tt1300854,Robert Downey Jr.,star
tt1300854,Guy Pearce,star
tt1300854,Gwyneth Paltrow,star
tt3498820,Anthony Russo,director
tt3498820,Joe Russo,director
tt3498820,Christopher Markus,writer
tt3498820,Stephen McFeely,writer
tt3498820,Chris Evans,star
tt3498820,Robert Downey Jr.,star
tt3498820,Scarlett Johansson,star
tt1392170,Gary Ross,director
tt1392170,Gary Ross,writer
tt1392170,Suzanne Collins,writer
tt1392170,Jennifer Lawrence,star
tt1392170,Josh Hutcherson,star
tt1392170,Liam Hemsworth,star
tt2283362,Jake Kasdan,director
tt2283362,Chris McKenna,writer
tt2283362,Erik Sommers,writer
tt2283362,Dwayne Johnson,star
tt2283362,Karen Gillan,star
tt2283362,Kevin Hart,star
tt0145487,Sam Raimi,director
tt0145487,Stan Lee,writer
tt0145487,Steve Ditko,writer
tt0145487,Tobey Maguire,star
tt0145487,Kirsten Dunst,star
tt0145487,Willem Dafoe,star
tt1055369,Michael Bay,director
tt1055369,Ehren Kruger,writer
tt1055369,Roberto Orci,writer
tt1055369,Shia LaBeouf,star
tt1055369,Megan Fox,star
tt1055369,Josh Duhamel,star
tt2294629,Chris Buck,director
tt2294629,Jennifer Lee,director
tt2294629,Jennifer Lee,writer
tt2294629,Hans Christian Andersen,writer
tt2294629,Kristen Bell,star
tt2294629,Idina Menzel,star
tt2294629,Jonathan Groff,star
tt3896198,James Gunn,director
tt3896198,James Gunn,writer
tt3896198,Dan Abnett,writer
tt3896198,Chris Pratt,star
tt3896198,Zoe Saldana,star
tt3896198,Dave Bautista,star
tt1201607,David Yates,director
tt1201607,Steve Kloves,writer
tt1201607,J.K. Rowling,writer
tt1201607,Daniel Radcliffe,star
tt1201607,Emma Watson,star
tt1201607,Rupert Grint,star
tt0266543,Andrew Stanton,director
tt0266543,Lee Unkrich,director
tt0266543,Andrew Stanton,writer
tt0266543,Andrew Stanton,writer
tt0266543,Albert Brooks,star
tt0266543,Ellen DeGeneres,star
tt0266543,Alexander Gould,star
tt0121766,George Lucas,director
tt0121766,George Lucas,writer
tt0121766,Hayden Christensen,star
tt0121766,Natalie Portman,star
tt0121766,Ewan McGregor,star
tt0167260,Peter Jackson,director
tt0167260,J.R.R. Tolkien,writer
tt0167260,Fran Walsh,writer
tt0167260,Elijah Wood,star
tt0167260,Viggo Mortensen,star
tt0167260,Ian McKellen,star
tt0316654,Sam Raimi,director
tt0316654,Stan Lee,writer
tt0316654,Steve Ditko,writer
tt0316654,Tobey Maguire,star
tt0316654,Kirsten Dunst,star
tt0316654,Alfred Molina,star
tt2709768,Chris Renaud,director
tt2709768,Yarrow Cheney,director
tt2709768,Cinco Paul,writer
tt2709768,Ken Daurio,writer
tt2709768,Louis C.K.,star
tt2709768,Eric Stonestreet,star
tt2709768,Kevin Hart,star
tt1690953,Pierre Coffin,director
tt1690953,Chris Renaud,director
tt1690953,Cinco Paul,writer
tt1690953,Ken Daurio,writer
tt1690953,Steve Carell,star
tt1690953,Kristen Wiig,star
tt1690953,Benjamin Bratt,star
tt3040964,Jon Favreau,director
tt3040964,Justin Marks,writer
tt3040964,Rudyard Kipling,writer
tt3040964,Neel Sethi,star
tt3040964,Bill Murray,star
tt3040964,Ben Kingsley,star
tt1431045,Tim Miller,director
tt1431045,Rhett Reese,writer
tt1431045,Paul Wernick,writer
tt1431045,Ryan Reynolds,star
tt1431045,Morena Baccarin,star
tt1431045,T.J. Miller,star
tt2096673,Pete Docter,director
tt2096673,Ronnie Del Carmen,director
tt2096673,Pete Docter,writer
tt2096673,Ronnie Del Carmen,writer
tt2096673,Amy Poehler,star
tt2096673,Bill Hader,star
tt2096673,Lewis Black,star
tt2820852,James Wan,director
tt2820852,Chris Morgan,writer
tt2820852,Gary Scott Thompson,writer
tt2820852,Vin Diesel,star
tt2820852,Paul Walker,star
tt2820852,Dwayne Johnson,star
tt1399103,Michael Bay,director
tt1399103,Ehren Kruger,writer
tt1399103,Shia LaBeouf,star
tt1399103,Rosie Huntington-Whiteley,star
tt1399103,Tyrese Gibson,star
tt2179136,Clint Eastwood,director
tt2179136,Jason Hall,writer
tt2179136,Chris Kyle,writer
tt2179136,Bradley Cooper,star
tt2179136,Sienna Miller,star
tt2179136,Kyle Gallner,star
tt0167261,Peter Jackson,director
tt0167261,J.R.R. Tolkien,writer
tt0167261,Fran Walsh,writer
tt0167261,Elijah Wood,star
tt0167261,Ian McKellen,star
tt0167261,Viggo Mortensen,star
tt2948356,Byron Howard,director
tt2948356,Rich Moore,director
tt2948356,Byron Howard,writer
tt2948356,Rich Moore,writer
tt2948356,Ginnifer Goodwin,star
tt2948356,Jason Bateman,star
tt2948356,Idris Elba,star
tt1951265,Francis Lawrence,director
tt1951265,Peter Craig,writer
tt1951265,Danny Strong,writer
tt1951265,Jennifer Lawrence,star
tt1951265,Josh Hutcherson,star
tt1951265,Liam Hemsworth,star
tt0413300,Sam Raimi,director
tt0413300,Sam Raimi,writer
tt0413300,Ivan Raimi,writer
tt0413300,Tobey Maguire,star
tt0413300,Kirsten Dunst,star
tt0413300,Topher Grace,star
tt2293640,Kyle Balda,director
tt2293640,Pierre Coffin,director
tt2293640,Brian Lynch,writer
tt2293640,Sandra Bullock,star
tt2293640,Jon Hamm,star
tt2293640,Michael Keaton,star
tt2250912,Jon Watts,director
tt2250912,Jonathan Goldstein,writer
tt2250912,John Francis Daley,writer
tt2250912,Tom Holland,star
tt2250912,Michael Keaton,star
tt2250912,Robert Downey Jr.,star
tt1014759,Tim Burton,director
tt1014759,Linda Woolverton,writer
tt1014759,Lewis Carroll,writer
tt1014759,Mia Wasikowska,star
tt1014759,Johnny Depp,star
tt1014759,Helena Bonham Carter,star
tt1477834,James Wan,director
tt1477834,David Leslie Johnson-McGoldrick,writer
tt1477834,Will Beall,writer
tt1477834,Jason Momoa,star
tt1477834,Amber Heard,star
tt1477834,Willem Dafoe,star
tt2015381,James Gunn,director
tt2015381,James Gunn,writer
tt2015381,Nicole Perlman,writer
tt2015381,Chris Pratt,star
tt2015381,Vin Diesel,star
tt2015381,Bradley Cooper,star
tt2975590,Zack Snyder,director
tt2975590,Chris Terrio,writer
tt2975590,David S. Goyer,writer
tt2975590,Ben Affleck,star
tt2975590,Henry Cavill,star
tt2975590,Amy Adams,star
tt1396484,Andy Muschietti,director
tt1396484,Chase Palmer,writer
tt1396484,Cary Joji Fukunaga,writer
tt1396484,Bill Skarsgård,star
tt1396484,Jaeden Martell,star
tt1396484,Finn Wolfhard,star
tt1386697,David Ayer,director
tt1386697,David Ayer,writer
tt1386697,Will Smith,star
tt1386697,Jared Leto,star
tt1386697,Margot Robbie,star
tt5463162,David Leitch,director
tt5463162,Rhett Reese,writer
tt5463162,Paul Wernick,writer
tt5463162,Ryan Reynolds,star
tt5463162,Josh Brolin,star
tt5463162,Morena Baccarin,star
tt0413267,Chris Miller,director
tt0413267,Raman Hui,director
tt0413267,Jeffrey Price,writer
tt0413267,Peter S. Seaman,writer
tt0413267,Mike Myers,star
tt0413267,Cameron Diaz,star
tt0413267,Eddie Murphy,star
tt0418279,Michael Bay,director
tt0418279,Roberto Orci,writer
tt0418279,Alex Kurtzman,writer
tt0418279,Shia LaBeouf,star
tt0418279,Megan Fox,star
tt0418279,Josh Duhamel,star
tt0371746,Jon Favreau,director
tt0371746,Mark Fergus,writer
tt0371746,Hawk Ostby,writer
tt0371746,Robert Downey Jr.,star
tt0371746,Gwyneth Paltrow,star
tt0371746,Terrence Howard,star
tt0241527,Chris Columbus,director
tt0241527,J.K. Rowling,writer
tt0241527,Steve Kloves,writer
tt0241527,Daniel Radcliffe,star
tt0241527,Rupert Grint,star
tt0241527,Richard Harris,star
tt0367882,Steven Spielberg,director
tt0367882,David Koepp,writer
tt0367882,George Lucas,writer
tt0367882,Harrison Ford,star
tt0367882,Cate Blanchett,star
tt0367882,Shia LaBeouf,star
tt0120737,Peter Jackson,director
tt0120737,J.R.R. Tolkien,writer
tt0120737,Fran Walsh,writer
tt0120737,Elijah Wood,star
tt0120737,Ian McKellen,star
tt0120737,Orlando Bloom,star
tt3501632,Taika Waititi,director
tt3501632,Eric Pearson,writer
tt3501632,Craig Kyle,writer
tt3501632,Chris Hemsworth,star
tt3501632,Tom Hiddleston,star
tt3501632,Cate Blanchett,star
tt1228705,Jon Favreau,director
tt1228705,Justin Theroux,writer
tt1228705,Stan Lee,writer
tt1228705,Robert Downey Jr.,star
tt1228705,Mickey Rourke,star
tt1228705,Gwyneth Paltrow,star
tt0121765,George Lucas,director
tt0121765,George Lucas,writer
tt0121765,Jonathan Hales,writer
tt0121765,Hayden Christensen,star
tt0121765,Natalie Portman,star
tt0121765,Ewan McGregor,star
tt0449088,Gore Verbinski,director
tt0449088,Ted Elliott,writer
tt0449088,Terry Rossio,writer
tt0449088,Johnny Depp,star
tt0449088,Orlando Bloom,star
tt0449088,Keira Knightley,star
tt0325980,Gore Verbinski,director
tt0325980,Ted Elliott,writer
tt0325980,Terry Rossio,writer
tt0325980,Johnny Depp,star
tt0325980,Geoffrey Rush,star
tt0325980,Orlando Bloom,star
tt1074638,Sam Mendes,director
tt1074638,Neal Purvis,writer
tt1074638,Robert Wade,writer
tt1074638,Daniel Craig,star
tt1074638,Javier Bardem,star
tt1074638,Naomie Harris,star
tt0903624,Peter Jackson,director
tt0903624,Fran Walsh,writer
tt0903624,Philippa Boyens,writer
tt0903624,Martin Freeman,star
tt0903624,Ian McKellen,star
tt0903624,Richard Armitage,star
tt0417741,David Yates,director
tt0417741,Steve Kloves,writer
tt0417741,J.K. Rowling,writer
tt0417741,Daniel Radcliffe,star
tt0417741,Emma Watson,star
tt0417741,Rupert Grint,star
tt1325004,David Slade,director
